"Line","Ref","DocType","QAdeter","QAmeas","year","workerID","Trade_raw","Task_raw","Tool_raw","Tool_make","Material_raw","percSI_ref","percSI_mat","percQuartz_mat","percCrist_mat","percTrid_mat","percTrip_mat","Mat_ana","Trade","Task","Material","Tool","Site_class","Site_type","Agent","NbMeas","AM","ASD","GM","GSD","est_GM","est_GM_meth","est_GSD","est_GSD_meth","Min","P5","P10","Med","P90","P95","Max","Other_stat","Other_stat_def","Type","Association","IDassociation","Association_detail","Raw_measurement","Sampling_time","Sampling_time2","Objective","Calc_meas","IDCalc","OEL","Adj_OEL","Sampling_meth","Analysis_type","Analysis_meth","Analysis_detail","LOD","Environnement","SourceProx","Contribution","Contribution_detail","Formation","ControlNotAPR","GenVent","ExhVent_proxim","ExhVent_tool","Wet_spray","Wet_tool","isoSrc","Other_control","control_detail","RPEused","RPEtype","RPE_remark","remark"
"1","ID0001","4","4","4","Not specified_Non précisé","ID0001_01","Not specified_Non précisé","Jack hammering concrete","Jackhammer","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","6","5","18","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_1","29","0.17",NA,"2","5","0.17","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","4","4","4","4","4","4","4","4",NA,"1","2",NA,NA
"2","ID0001","4","4","4","Not specified_Non précisé","ID0001_02","Not specified_Non précisé","Jack hammering concrete","Jackhammer","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","6","5","18","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_1","29","0.03",NA,"2","5","0.03","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","5","4","4","4","5","4","4","4",NA,"1","2",NA,NA
"3","ID0001","4","4","4","Not specified_Non précisé","ID0001_03","Not specified_Non précisé","Chipping concrete","Not specified_Non précisé","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","6","5","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_2","29","0.16",NA,"2","5","0.16","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","4","4","4","4","4","4","4","4",NA,"1","2",NA,NA
"4","ID0001","4","4","4","Not specified_Non précisé","ID0001_04","Not specified_Non précisé","Chipping concrete","Not specified_Non précisé","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","6","5","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_2","29","0.03",NA,"2","5","0.03","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","5","4","4","4","5","4","4","4",NA,"1","2",NA,NA
"5","ID0001","4","4","4","Not specified_Non précisé","ID0001_05","Not specified_Non précisé","Sawing concrete blocks","Saw","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","9","32","6","29","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_3","29","0.113",NA,"2","5","0.113","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","4","4","4","4","4","4","4","4",NA,"1","2",NA,NA
"6","ID0001","4","4","4","Not specified_Non précisé","ID0001_06","Not specified_Non précisé","Sawing concrete blocks","Saw","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","9","32","6","29","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_3","29","0.02",NA,"2","5","0.02","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","5","4","4","4","5","4","4","4",NA,"1","2",NA,NA
"7","ID0001","4","4","4","Not specified_Non précisé","ID0001_07","Not specified_Non précisé","Dry cutting masonry with portable ""chop saw""","portable ""chop saw""","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","32","5","29","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_4","29","2.4",NA,"2","5","2.4","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","4","4","4","4","4","4","4","4",NA,"1","2",NA,NA
"8","ID0001","4","4","4","Not specified_Non précisé","ID0001_08","Not specified_Non précisé","Dry cutting masonry with portable ""chop saw""","portable ""chop saw""","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","32","5","29","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_4","29","5.5E-2",NA,"2","5","5.5E-2","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","5","4","4","4","4","5","4","4",NA,"1","2",NA,NA
"9","ID0001","4","4","4","Not specified_Non précisé","ID0001_09","Not specified_Non précisé","Smoothing concrete walls with hand-held angle-grinder","hand-held angle-grinder","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","17","21","5","20","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_5","29","0.18",NA,"2","5","0.18","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","4","4","4","4","4","4","4","4",NA,"1","2",NA,NA
"10","ID0001","4","4","4","Not specified_Non précisé","ID0001_10","Not specified_Non précisé","Smoothing concrete walls with hand-held angle-grinder","hand-held angle-grinder","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","17","21","5","20","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_5","29","0.02",NA,"2","5","0.02","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","5","4","4","4","4","5","4","4",NA,"1","2",NA,NA
"11","ID0001","4","4","4","Not specified_Non précisé","ID0001_11","Not specified_Non précisé","Mortar grinding","Grinder","Not specified_Non précisé","Mortar","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","9","20","21","21","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_6","29","2.84",NA,"2","5","2.84","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","4","4","4","4","4","4","4","4",NA,"1","2",NA,NA
"12","ID0001","4","4","4","Not specified_Non précisé","ID0001_12","Not specified_Non précisé","Mortar grinding","Grinder","Not specified_Non précisé","Mortar","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","9","20","21","21","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_6","29","5.8999999999999997E-2",NA,"2","5","5.8999999999999997E-2","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","5","4","4","5","4","4","4","4",NA,"1","2",NA,NA
"13","ID0001","4","4","4","Not specified_Non précisé","ID0001_13","Not specified_Non précisé","Smoothing concrete walls with hand-held angle-grinder","hand-held angle-grinder","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","17","21","5","20","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_7","29","0.18",NA,"2","5","0.18","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","4","4","4","4","4","4","4","4",NA,"1","2",NA,NA
"14","ID0001","4","4","4","Not specified_Non précisé","ID0001_14","Not specified_Non précisé","Smoothing concrete walls with hand-held angle-grinder","hand-held angle-grinder","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","17","21","5","20","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_7","29","0.05",NA,"2","5","0.05","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","5","4","4","5","4","4","4","4",NA,"1","2",NA,NA
"15","ID0055","4","6","6","1999","ID0055_01","Concrete worker","Concrete drilling, recess milling and sawing","Jackhammer, hammer drills, mills and saws","Not specified_Non précisé","Concrete and lime sandstone","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","25","15","24","1","1","5","14","1.0900000000000001",NA,"0.42","5",NA,NA,NA,NA,"3.5999999999999997E-2",NA,NA,NA,NA,NA,"4.7",NA,NA,"5","4",NA,NA,NA,"390","4","4","0.42","5","-2","-2","5","6","7","35","5.0000000000000001E-3","1","1","2",NA,"1","1","2","2","2","2","2","2","2",NA,"1","2",NA,NA
"16","ID0055","4","6","6","1999","ID0055_01","Concrete worker","Concrete drilling, recess milling and sawing","Jackhammer, hammer drills, mills and saws","Not specified_Non précisé","Concrete and lime sandstone","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","25","15","24","1","1","4","14","3.66",NA,"1.9","3.3",NA,NA,NA,NA,"0.33",NA,NA,NA,NA,NA,"14.3",NA,NA,"5","4",NA,NA,NA,"390","4","4","1.9","5","-2","-2","5","4","3","33","0.15","1","1","2",NA,"1","1","2","2","2","2","2","2","2",NA,"1","2",NA,NA
"17","ID0055","4","6","6","1999","ID0055_02","Tuck pointer","Chasing out mortar between bricks","Hand-held grinder, pneumatic chipping hammers","Not specified_Non précisé","Mortar","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","9","20","21","23","1","1","5","10","0.56000000000000005",NA,"0.35","2.8",NA,NA,NA,NA,"8.8999999999999996E-2",NA,NA,NA,NA,NA,"1.6",NA,NA,"5","4",NA,NA,NA,"390","4","4","0.35","5","-2","-2","5","6","7","35","5.0000000000000001E-3","1","1","2",NA,"1","1","2","2","2","2","2","2","2",NA,"1","2",NA,NA
"18","ID0055","4","6","6","1999","ID0055_02","Tuck pointer","Chasing out mortar between bricks","Hand-held grinder, pneumatic chipping hammers","Not specified_Non précisé","Mortar","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","9","20","21","23","1","1","4","10","3.53",NA,"2.4","2.7",NA,NA,NA,NA,"0.55000000000000004",NA,NA,NA,NA,NA,"8",NA,NA,"5","4",NA,NA,NA,"390","4","4","2.4","5","-2","-2","5","4","3","33","0.15","1","1","2",NA,"1","1","2","2","2","2","2","2","2",NA,"1","2",NA,NA
"19","ID0055","4","6","6","1999","ID0055_03","Demolition worker","Demolishing, welding, sawing and clearing rubble","Jackhammer, drills and excavators equipped with breakers","Not specified_Non précisé","Not specified_Non précisé","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","36","1","23","1","1","5","21","0.25",NA,"0.14000000000000001","2.7",NA,NA,NA,NA,"3.7999999999999999E-2",NA,NA,NA,NA,NA,"1.3",NA,NA,"5","4",NA,NA,NA,"390","4","4","0.14000000000000001","5","-2","-2","5","6","7","35","5.0000000000000001E-3","1","1","2",NA,"1","1","2","2","2","2","2","2","2",NA,"1","2",NA,NA
"20","ID0055","4","6","6","1999","ID0055_03","Demolition worker","Demolishing, welding, sawing and clearing rubble","Jackhammer, drills and excavators equipped with breakers","Not specified_Non précisé","Not specified_Non précisé","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","36","1","23","1","1","4","21","2.44",NA,"1.4","3",NA,NA,NA,NA,"0.2",NA,NA,NA,NA,NA,"9.4",NA,NA,"5","4",NA,NA,NA,"390","4","4","1.4","5","-2","-2","5","4","3","33","0.15","1","1","2",NA,"1","1","2","2","2","2","2","2","2",NA,"1","2",NA,NA
"21","ID0055","4","6","6","1999","ID0055_04","Inner wall constructor","Working with concrete breezeblocks (a highly cellular material made from quartzite, lime and water)","Not specified_Non précisé","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","67","3","5","1","1","1","5","4","4.2999999999999997E-2",NA,"3.5999999999999997E-2","2",NA,NA,NA,NA,"1.6E-2",NA,NA,NA,NA,NA,"8.4000000000000005E-2",NA,NA,"5","4",NA,NA,NA,"390","4","4","3.5999999999999997E-2","5","-2","-2","5","6","7","35","5.0000000000000001E-3","1","1","2",NA,"1","1","2","2","2","2","2","2","2",NA,"1","2",NA,NA
"22","ID0055","4","6","6","1999","ID0055_04","Inner wall constructor","Working with concrete breezeblocks (a highly cellular material made from quartzite, lime and water)","Not specified_Non précisé","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","67","3","5","1","1","1","4","4","2",NA,"1.5","2.5",NA,NA,NA,NA,"0.55000000000000004",NA,NA,NA,NA,NA,"4",NA,NA,"5","4",NA,NA,NA,"390","4","4","1.5","5","-2","-2","5","4","3","33","0.15","1","1","2",NA,"1","1","2","2","2","2","2","2","2",NA,"1","2",NA,NA
"23","ID0055","4","6","6","1999","ID0055_05","Cleaner","Clearing up worksites or sweeping","Not specified_Non précisé","Not specified_Non précisé","Not specified_Non précisé","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","40","23","1","1","1","1","5","12","3.2000000000000001E-2",NA,"1.7000000000000001E-2","3.6",NA,NA,NA,NA,"1.6000000000000001E-3",NA,NA,NA,NA,NA,"9.7000000000000003E-2",NA,NA,"5","4",NA,NA,NA,"390","4","4","1.7000000000000001E-2","5","-2","-2","5","6","7","35","5.0000000000000001E-3","1","1","2",NA,"1","1","2","2","2","2","2","2","2",NA,"1","2",NA,NA
"24","ID0055","4","6","6","1999","ID0055_05","Cleaner","Clearing up worksites or sweeping","Not specified_Non précisé","Not specified_Non précisé","Not specified_Non précisé","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","40","23","1","1","1","1","4","12","1",NA,"0.57999999999999996","3.2",NA,NA,NA,NA,"0.14000000000000001",NA,NA,NA,NA,NA,"2.5",NA,NA,"5","4",NA,NA,NA,"390","4","4","0.57999999999999996","5","-2","-2","5","4","3","33","0.15","1","1","2",NA,"1","1","2","2","2","2","2","2","2",NA,"1","2",NA,NA
"25","ID0055","4","6","6","1999","ID0055_06","Concrete worker","Recess milling in lime sandstone","Mill","Not specified_Non précisé","Lime sandstone","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","17","21","22","11","1","1","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","6","ID0055_1","33","14.3","1","4","4","14.3","4","-2","-2","5","7","3","34","-1","1","1","2",NA,"1","4","4","4","4","4","4","4","4",NA,"1","2",NA,NA
"26","ID0055","4","6","6","1999","ID0055_07","Concrete worker","Drilling with down-the-hole (DTH) bits in lime sandstone","Hammer drill","Not specified_Non précisé","Lime sandstone","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","26","22","18","1","1","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","6","ID0055_2","33","0.2","1.5","4","4","0.2","4","-2","-2","5","7","3","34","-1","1","1","2",NA,"1","4","4","4","4","4","4","4","4",NA,"1","2",NA,NA
"27","ID0055","4","6","6","1999","ID0055_07","Concrete worker","Drilling with down-the-hole (DTH) bits in lime sandstone","Hammer drill","Not specified_Non précisé","Lime sandstone","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","26","22","18","1","1","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","6","ID0055_2","33","0.4","1.5","4","4","0.4","4","-2","-2","5","7","3","34","-1","1","1","2",NA,"1","4","4","4","4","4","4","4","4",NA,"1","2",NA,NA
"28","ID0055","4","6","6","1999","ID0055_08","Concrete worker","Sawing in lime sandstone","Saw","Not specified_Non précisé","Lime sandstone","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","32","22","29","1","1","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","6","ID0055_3","33","37.299999999999997","2","4","4","37.299999999999997","4","-2","-2","5","7","3","34","-1","1","1","2",NA,"1","4","4","4","4","4","4","4","4",NA,"1","2",NA,NA
"29","ID0055","4","6","6","1999","ID0055_09","Cleaner","Clearing rubble (sweeping)","Not specified_Non précisé","Not specified_Non précisé","Not specified_Non précisé","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","40","23","1","1","1","1","4","7",NA,NA,NA,NA,"5.315072906367325","Minimum-Maximum","1.76867761232676","Minimum-Maximum","2.5",NA,NA,NA,NA,NA,"11.3",NA,NA,"5","6","ID0055_4","33",NA,"2.5","4","4","5.32","5","-2","-2","5","7","3","34","-1","1","1","2",NA,"1","4","4","4","4","4","4","4","4",NA,"1","2",NA,NA
"30","ID0055","4","6","6","1999","ID0055_10","Concrete worker","Recess milling in lime sandstone","Mill","Not specified_Non précisé","Lime sandstone","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","17","21","22","11","1","1","4","3",NA,NA,NA,NA,"7.7459666924148324E-2","Minimum-Maximum","3.3029612054501598","Minimum-Maximum","0.03",NA,NA,NA,NA,NA,"0.2",NA,NA,"5","6","ID0055_1","32",NA,"1","4","4","7.7459666924148324E-2","5","-2","-2","5","7","3","34","-1","1","1","2",NA,"1","5","4","5","4","4","4","4","4",NA,"1","2",NA,NA
"31","ID0055","4","6","6","1999","ID0055_11","Concrete worker","Drilling with down-the-hole (DTH) bits in lime sandstone","Hammer drill","Not specified_Non précisé","Lime sandstone","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","26","22","18","1","1","4","3",NA,NA,NA,NA,"4.8989794855663578E-2","Minimum-Maximum","1.29093240734796","Minimum-Maximum","0.04",NA,NA,NA,NA,NA,"0.06",NA,NA,"5","6","ID0055_2","32",NA,"1.5","4","4","4.8989794855663578E-2","5","-2","-2","5","7","3","34","-1","1","1","2",NA,"1","5","4","5","4","4","4","4","4",NA,"1","2",NA,NA
"32","ID0055","4","6","6","1999","ID0055_12","Concrete worker","Sawing in lime sandstone","Saw","Not specified_Non précisé","Lime sandstone","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","32","22","29","1","1","4","3",NA,NA,NA,NA,"0.11832159566199235","Minimum-Maximum","1.23603980339139","Minimum-Maximum","0.1",NA,NA,NA,NA,NA,"0.14000000000000001",NA,NA,"5","6","ID0055_3","32",NA,"2","4","4","0.11832159566199235","5","-2","-2","5","7","3","34","-1","1","1","2",NA,"1","5","4","5","4","4","4","4","4",NA,"1","2",NA,NA
"33","ID0055","4","6","6","1999","ID0055_13","Cleaner","Clearing rubble (sweeping)","Not specified_Non précisé","Not specified_Non précisé","Not specified_Non précisé","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","40","23","1","1","1","1","4","3",NA,NA,NA,NA,"0.2","Minimum-Maximum","2.3943166334421502","Minimum-Maximum","0.1",NA,NA,NA,NA,NA,"0.4",NA,NA,"5","6","ID0055_4","35",NA,"2.5","4","4","0.2","5","-2","-2","5","7","3","34","-1","1","1","2",NA,"1","5","4","5","4","4","4","4","4",NA,"1","2",NA,NA
"34","ID0055","4","6","6","1999","ID0055_14","Concrete worker","Sawing in lime sandstone","Saw","Not specified_Non précisé","Lime sandstone","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","32","22","29","1","1","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","6","ID0055_3","34","2.9","2","4","4","2.9","4","-2","-2","5","7","3","34","-1","1","1","2",NA,"1","5","4","4","4","5","4","4","4","6","1","2",NA,NA
"35","ID0055","4","6","6","1999","ID0055_14","Concrete worker","Sawing in lime sandstone","Saw","Not specified_Non précisé","Lime sandstone","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","32","22","29","1","1","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","6","ID0055_3","34","7","2","4","4","7","4","-2","-2","5","7","3","34","-1","1","1","2",NA,"1","5","4","4","4","5","4","4","4","6","1","2",NA,NA
"36","ID0055","4","6","6","1999","ID0055_15","Cleaner","Clearing rubble (sweeping)","Not specified_Non précisé","Not specified_Non précisé","Not specified_Non précisé","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","40","23","1","1","1","1","4","14",NA,NA,NA,NA,"0.46904157598234303","Minimum-Maximum","2.5117927902183399","Minimum-Maximum","0.1",NA,NA,NA,NA,NA,"2.2000000000000002",NA,NA,"5","6","ID0055_4","30",NA,"2.5","4","4","0.46904157598234303","5","-2","-2","5","7","3","34","-1","1","1","2",NA,"1","5","4","4","4","5","4","4","4","6","1","2",NA,NA
"37","ID0055","4","6","6","1999","ID0055_16","Concrete worker","Sawing in lime sandstone","Saw","Not specified_Non précisé","Lime sandstone","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","32","22","29","1","1","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","6","ID0055_3","31","0.03","2","4","4","0.03","4","-2","-2","5","7","3","34","-1","1","1","2",NA,"1","5","4","5","4","5","4","4","4",NA,"1","2",NA,NA
"38","ID0055","4","6","6","1999","ID0055_16","Concrete worker","Sawing in lime sandstone","Saw","Not specified_Non précisé","Lime sandstone","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","32","22","29","1","1","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","6","ID0055_3","31","0.4","2","4","4","0.4","4","-2","-2","5","7","3","34","-1","1","1","2",NA,"1","5","4","5","4","5","4","4","4",NA,"1","2",NA,NA
"39","ID0057","4","5","6","1992-1999","ID0057_01","Painters","Abrasive blasting","Not specified_Non précisé","Not specified_Non précisé","Not specified_Non précisé","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","42","10","1","1","1","1","4","14",NA,NA,NA,NA,"13.5","Median_Médiane","7.0961046057563104","Minimum-Maximum","1.1599999999999999",NA,NA,"13.5",NA,NA,"833",NA,NA,"5","4",NA,NA,NA,"315","4","4","31.1","5","-2","-2","16","4","4",NA,"0.03","1","1","2",NA,"1","1","2","2","2","2","2","2","2",NA,"7","1",NA,NA
"40","ID0057","4","5","6","1992-1999","ID0057_01","Painters","Abrasive blasting","Not specified_Non précisé","Not specified_Non précisé","Not specified_Non précisé","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","42","10","1","1","1","1","5","14",NA,NA,NA,NA,"1.28","Median_Médiane","3.9528009885358699","Minimum-Maximum","0.26",NA,NA,"1.28",NA,NA,"26.2",NA,NA,"5","4",NA,NA,NA,"315","4","4","2.61","5","-2","-2","16","5","5",NA,"5.0000000000000001E-3","1","1","2",NA,"1","1","2","2","2","2","2","2","2",NA,"7","1",NA,NA
"41","ID0057","4","5","6","1992-1999","ID0057_02","Bricklayers","Not specified_Non précisé","Not specified_Non précisé","Not specified_Non précisé","Not specified_Non précisé","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","9","1","1","1","1","1","4","11",NA,NA,NA,NA,"2.13","Median_Médiane","5.2928344952226398","Minimum-Maximum","0.16",NA,NA,"2.13",NA,NA,"29",NA,NA,"5","4",NA,NA,NA,"315","4","4","2.15","5","-2","-2","16","4","4",NA,"0.03","1","1","2",NA,"1","1","2","2","2","2","2","2","2",NA,"7","1",NA,NA
"42","ID0057","4","5","6","1992-1999","ID0057_02","Bricklayers","Not specified_Non précisé","Not specified_Non précisé","Not specified_Non précisé","Not specified_Non précisé","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","9","1","1","1","1","1","5","11",NA,NA,NA,NA,"0.32","Median_Médiane","11.4768577167962","Minimum-Maximum","7.0000000000000001E-3",NA,NA,"0.32",NA,NA,"14.2",NA,NA,"5","4",NA,NA,NA,"315","4","4","0.31527765540868896","5","-2","-2","16","5","5",NA,"5.0000000000000001E-3","1","1","2",NA,"1","1","2","2","2","2","2","2","2",NA,"7","1",NA,NA
"43","ID0057","4","5","6","1992-2000","ID0057_03","Operating enginners","Not specified_Non précisé","Not specified_Non précisé","Not specified_Non précisé","Not specified_Non précisé","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","3","1","1","1","1","1","4","46",NA,NA,NA,NA,"0.72","Median_Médiane","3.6719687658170499","Minimum-Maximum","0.01",NA,NA,"0.72",NA,NA,"3",NA,NA,"5","4",NA,NA,NA,"315","4","4","0.17320508075688779","5","-2","-2","16","4","4",NA,"0.03","1","1","2",NA,"1","1","2","2","2","2","2","2","2",NA,"7","1",NA,NA
