"Line","Ref","DocType","QAdeter","QAmeas","year","workerID","Trade_raw","Task_raw","Tool_raw","Tool_make","Material_raw","percSI_ref","percSI_mat","percQuartz_mat","percCrist_mat","percTrid_mat","percTrip_mat","Mat_ana","Trade","Task","Material","Tool","Site_class","Site_type","Agent","NbMeas","AM","ASD","GM","GSD","est_GM","est_GM_meth","est_GSD","est_GSD_meth","Min","P5","P10","Med","P90","P95","Max","Other_stat","Other_stat_def","Type","Association","IDassociation","Association_detail","Raw_measurement","Sampling_time","Sampling_time2","Objective","Calc_meas","IDCalc","OEL","Adj_OEL","Sampling_meth","Analysis_type","Analysis_meth","Analysis_detail","LOD","Environnement","SourceProx","Contribution","Contribution_detail","Formation","ControlNotAPR","GenVent","ExhVent_proxim","ExhVent_tool","Wet_spray","Wet_tool","isoSrc","Other_control","control_detail","RPEused","RPEtype","RPE_remark","remark"
"4094","ID1135","6","6","6","1995","ID1135_17","Laborer","Concrete drilling","Drilling machine","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","32","25","5","16","7","5","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"2.23","519","4","1","2.23","4","-2","-2","4","4","4",NA,"0.02","11","5","1",NA,"1","4","4","4","4","4","4","4","4",NA,"4","2",NA,NA
"4095","ID1135","6","6","6","1995","ID1135_18","Laborer","Concrete drilling","Drilling machine","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","32","25","5","16","7","5","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"4.41","348","4","1","4.41","4","-2","-2","4","4","4",NA,"0.02","11","5","1",NA,"1","4","4","4","4","4","4","4","4",NA,"4","2",NA,NA
"4096","ID1135","6","6","6","1995","ID1135_19","Laborer","Concrete drilling","Drilling machine","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","32","25","5","16","7","5","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"11.94","514","4","1","11.9","4","-2","-2","4","4","4",NA,"0.02","11","5","1",NA,"1","4","4","4","4","4","4","4","4",NA,"4","2",NA,NA
"4097","ID1137","6","6","6","1993","ID1137_01","Water truck operator","Other highway","Other highway","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","18-24","0","Not specified_Non précisé","Not specified_Non précisé","4","22","43","5","5","7","4","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"7.0000000000000007E-2","238","4","4","7.0000000000000007E-2","4","-2","-2","4","4","4",NA,"0.02","11","5","1",NA,"1","5","4","4","4","4","4","5","4","54","4","2",NA,NA
"4098","ID1137","6","6","6","1993","ID1137_01","Water truck operator","Other highway","Other highway","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","18-24","0","Not specified_Non précisé","Not specified_Non précisé","4","22","43","5","5","7","4","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"-1","535","4","4","0.02","4","-2","-2","4","5","5",NA,"0.01","11","5","1",NA,"1","5","4","4","4","4","4","5","4","54","4","2",NA,NA
"4099","ID1137","6","6","6","1993","ID1137_01","Water truck operator","Other highway","Other highway","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","18-24","0","Not specified_Non précisé","Not specified_Non précisé","4","22","43","5","5","7","4","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"-1","238","4","4","0.04","4","-2","-2","4","5","5",NA,"0.01","11","5","1",NA,"1","5","4","4","4","4","4","5","4","54","4","2",NA,NA
"4100","ID1137","6","6","6","1993","ID1137_02","Do not know","Cut brick/concrete/stone","Walk behind saw","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","18-24","0","Not specified_Non précisé","Not specified_Non précisé","4","43","32","5","27","7","4","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"-1","545","4","4","0.02","4","-2","-2","4","5","5",NA,"0.01","11","5","1",NA,"1","5","4","4","4","4","5","4","4",NA,"4","2",NA,NA
"4101","ID1137","6","6","6","1993","ID1137_02","Do not know","Cut brick/concrete/stone","Walk behind saw","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","18-24","0","Not specified_Non précisé","Not specified_Non précisé","4","43","32","5","27","7","4","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"-1","242","4","4","0.04","4","-2","-2","4","5","5",NA,"0.01","11","5","1",NA,"1","5","4","4","4","4","5","4","4",NA,"4","2",NA,NA
"4102","ID1137","6","6","6","1993","ID1137_03","Do not know","Cut brick/concrete/stone","Walk behind saw","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","18-24","0","Not specified_Non précisé","Not specified_Non précisé","4","43","32","5","27","7","4","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"0.05","545","4","4","0.05","4","-2","-2","4","4","4",NA,"0.02","11","5","1",NA,"1","5","4","4","4","4","5","4","4",NA,"4","2",NA,NA
"4103","ID1137","6","6","6","1993","ID1137_03","Do not know","Cut brick/concrete/stone","Walk behind saw","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","18-24","0","Not specified_Non précisé","Not specified_Non précisé","4","43","32","5","27","7","4","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"-1","545","4","4","0.02","4","-2","-2","4","5","5",NA,"0.01","11","5","1",NA,"1","5","4","4","4","4","5","4","4",NA,"4","2",NA,NA
